, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
51395,65438,PRT,39,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51396,65439,PRT,42,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51397,65440,PRT,41,157,3,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51398,65441,PRT,47,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51399,65442,PRT,47,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51400,65443,PRT,35,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51401,65444,PRT,33,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51402,65445,PRT,51,157,38,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
51403,65446,PRT,42,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51428,65498,PRT,47,157,10,84.0,27.0,0,0,1,3,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51442,65531,PRT,50,157,10,59.0,7.0,0,0,1,1,1,158,158,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
51518,65705,PRT,49,156,1,112.0,33.5,0,0,1,3,1,157,157,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
