, ID,Nationality,Age,DaysSinceCreation,AverageLeadTime,LodgingRevenue,OtherRevenue,BookingsCanceled,BookingsNoShowed,BookingsCheckedIn,PersonsNights,RoomNights,DaysSinceLastStay,DaysSinceFirstStay,DistributionChannel,MarketSegment,SRHighFloor,SRLowFloor,SRAccessibleRoom,SRMediumFloor,SRBathtub,SRShower,SRCrib,SRKingSizeBed,SRTwinBed,SRNearElevator,SRAwayFromElevator,SRNoAlcoholInMiniBar,SRQuietRoom
17415,20073,PRT,48,741,27,3023.0,418.0,4,2,24,49,49,119,744,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
17456,20114,PRT,38,740,9,311.5,191.5,0,0,3,9,3,388,741,Travel Agent/Operator,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
17583,20245,BRA,59,734,1,1516.0,180.7,0,0,3,17,17,160,746,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
18316,21033,PRT,52,719,6,707.0,147.5,0,0,6,9,9,461,721,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
18346,21063,PRT,40,718,9,416.0,53.0,0,0,5,7,7,249,719,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
18395,21113,PRT,39,717,0,586.0,68.5,0,0,3,9,6,578,718,Direct,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
18633,21354,AUT,60,711,1,273.0,103.0,0,2,1,2,2,713,713,Corporate,Aviation,0,0,0,0,0,0,0,1,0,0,0,0,0
19095,21833,GBR,42,699,0,179.0,39.0,0,0,3,3,3,575,700,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,0,0,0,0,0,0
19134,21874,PRT,59,697,6,726.0,102.5,0,0,7,9,9,34,698,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
19635,22399,PRT,66,684,14,447.0,98.0,0,0,4,10,5,502,685,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
19940,22711,PRT,63,679,132,1031.89,202.0,0,0,3,23,9,170,681,Travel Agent/Operator,Direct,0,0,0,0,0,0,0,1,1,0,0,0,0
20079,22852,PRT,47,676,18,1155.0,284.0,4,1,13,15,15,95,677,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
20080,22853,PRT,47,676,3,677.0,65.0,0,0,6,8,8,69,677,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
20082,22856,ESP,54,676,7,430.0,85.5,0,0,3,5,5,483,678,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
20122,22896,DEU,45,675,6,880.0,155.0,0,0,4,7,7,284,678,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
20569,23379,PRT,28,669,16,0.0,0.0,1,0,7,9,8,140,670,Corporate,Complementary,0,0,0,0,0,0,0,1,0,0,0,0,0
20900,23722,ISR,30,663,84,434.0,44.0,0,0,3,6,6,637,665,Travel Agent/Operator,Groups,0,0,0,0,0,0,0,0,0,0,0,0,0
21211,24044,ITA,47,658,1,370.0,58.7,1,0,2,3,3,658,659,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
21347,24188,PRT,44,656,7,537.0,269.99,0,0,3,20,7,325,657,Travel Agent/Operator,Travel Agent/Operator,0,0,0,0,0,0,0,1,0,0,0,0,0
21454,24299,PRT,44,654,33,528.55,86.0,0,0,3,10,7,306,1073,Corporate,Direct,0,0,0,0,0,0,0,1,0,0,0,0,0
21460,24305,PRT,43,654,56,417.0,76.0,0,0,3,5,5,306,656,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
21463,24308,PRT,46,654,20,1107.0,208.0,0,0,8,21,10,9,656,Direct,Direct,0,0,0,0,0,0,0,1,1,0,0,0,0
21710,24561,FRA,57,650,17,845.0,108.0,1,0,8,9,9,454,651,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
21721,24572,SWE,60,650,13,2045.0,382.5,1,0,7,19,19,168,651,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
21722,24573,SWE,65,650,19,890.0,86.5,1,0,2,4,4,567,651,Direct,Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
21793,24651,PRT,44,649,1,818.6,270.0,0,0,6,6,6,412,650,Travel Agent/Operator,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
21807,24667,SWE,60,648,18,1144.0,232.5,0,0,3,10,7,112,650,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
22140,25015,USA,49,643,10,855.0,94.47,0,1,2,3,3,566,643,Direct,Direct,0,0,0,0,0,0,0,1,0,0,0,0,1
22290,25166,PRT,68,641,3,792.0,138.5,0,0,3,7,7,621,644,Direct,Direct,0,0,0,0,0,1,0,1,0,0,0,0,0
22427,25307,ESP,51,639,8,1386.0,255.35,1,0,5,14,14,198,640,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
22497,25377,FRA,58,638,12,1293.0,264.0,0,1,3,13,9,210,642,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
22626,25511,PRT,46,635,7,836.0,257.4,2,0,5,9,9,92,637,Corporate,Corporate,0,0,0,1,0,0,0,0,0,0,0,0,0
22967,25865,AGO,50,630,3,2025.0,459.09,0,0,3,18,14,609,631,Direct,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
23701,26610,DEU,63,619,2,1967.0,250.5,0,0,3,11,7,556,623,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
23915,26824,PRT,37,615,20,171.0,116.9,0,0,6,10,30,230,617,Direct,Direct,0,0,0,0,0,0,0,1,1,0,0,0,0
23981,26892,PRT,54,613,5,361.0,107.5,0,0,4,4,4,23,614,Travel Agent/Operator,Travel Agent/Operator,1,0,0,0,0,0,0,1,0,0,0,0,0
24185,27108,GRC,51,611,7,3066.0,347.3,0,0,5,28,30,232,624,Corporate,Aviation,0,0,0,0,0,0,0,1,0,0,0,0,0
24669,27605,AUT,41,604,113,1684.8,23.0,0,0,3,14,7,604,605,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,1
24837,27779,HRV,42,602,10,1136.0,146.2,0,0,3,7,9,225,605,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
24915,27857,PRT,36,600,9,1013.0,182.5,1,0,14,17,17,47,601,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
25458,28410,PRT,53,592,5,60.0,6.0,1,1,1,1,1,593,593,Corporate,Corporate,0,0,0,0,0,0,0,0,0,0,0,0,0
25628,28586,PRT,43,590,2,483.0,49.0,0,0,3,4,4,210,591,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
25643,28601,PRT,45,590,0,552.0,28.0,1,0,2,4,4,571,591,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
26006,28986,PRT,60,585,9,2814.0,1146.5,0,0,13,52,40,399,588,Corporate,Corporate,0,0,0,0,0,0,0,1,0,0,0,0,0
26433,29437,BEL,51,579,1,1024.0,242.8,0,0,3,11,11,270,582,Corporate,Aviation,0,0,0,0,0,0,0,0,0,0,0,0,0
26442,29446,DEU,26,578,28,3409.0,238.0,0,0,10,26,26,390,581,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
26448,29453,DEU,30,578,30,2314.0,215.4,0,0,10,24,22,378,581,Travel Agent/Operator,Other,0,0,0,0,0,0,0,0,0,0,0,0,0
